SPI|(ALFA) Spider Series, Alfa Romeo; (AMER) Spirit, American Motors (see make Rambler for Ramblers mfd. prior to 1966), Jeep (for vehicle years 1970-1988, use VMA/AMER); (DODG) Spirit, Dodge; (FIAT) Spider Series, Fiat; (NSU) Spider (Wankel), Nsu Prinz; (PINI) Spidereuropa, Pinifarina; (TRIU) Spitfire, Triumph
MKT|(MG) Mark II, MG
SOL|(TOYT) Solara, Toyota; (PONT) Solstice, Pontiac
AZT|(PONT) Aztek, Pontiac
TRL|(PLYM) Trail Duster, Plymouth
ASP|(DODG) Aspen, Dodge; (FORD) Aspire, Ford (see English, French, German, and Italian Ford); (CHRY) Aspen, Chrysler
FES|(FORD) Festiva, Ford (see English, French, German, and Italian Ford)
HAW|(HUMB) Hawk, Humber; (STU) Hawk Series, Studebaker
TR4|(TRIU) TR-4 & TR-4A, Triumph
MK7|(LINC) Mark VII, Lincoln-Continental
95|(SAA) 95, Saab
RAG|(GZL) Rage (sport utility), Gazelle
EQX|(CHEV) Equinox, Chevrolet
540|(BMW) 540, BMW
SX4|(SUZI) SX4, Suzuki
NIA|(METE) Niagara, Meteor (Canadian Mercury)
SID|(ROL) Silver Dawn, Rolls-Royce
OCT|(SKOD) Octavia, Skoda
DB7|(ASTO) DB7 (Coupe), Volante (DB7), Aston Martin
MAN|(KAIS) Manhattan, Kaiser; (OPEL) Manta, Opel (imported by Buick); (QVAL) Mangusta, Qvale Automotive Group
151|(ENCR) M151, Encore
BRA|(FIAT) Brava, Fiat
350|(MASE) 3500 (series), Maserati; (ROV) 3500, Rover; (NISS) 350Z, Nissan ; (MERZ) E350 OR SLK350, Mercedes Benz; (MERZ) S350, Mercedes - Benz; (ISU) i350, Isuzu; (LEXS) IS350, Lexus
DUE|(ALFA) Duetto, Alfa Romeo
MIS|(MASE) Mistrell, Maserati; (MAZD) Miser (piston engine), Mazda
PIN|(FORD) Pinto, Ford (see English, French, German, and Italian Ford)
924|(PORS) 924, Porsche
GLD|(ZMCC) Golden Spirit, Zimmer Motor Car Co.
OLY|(OPEL) Olympia, Opel (imported by Buick)
TSP|(PONT) Trans Sport/Transport, Pontiac; (VOLK) Transporter, Volkswagen
CL6|(MERZ) CL600, Mercedes-Benz
2CV|(CITR) 2CV, Citroen
DEL|(HUDS) Deluxe, Hudson; (KAIS) Deluxe, Kaiser; (CHEV) Del Ray, Chevrolet; (DESO) Deluxe, DeSoto; (DODG) Deluxe, Dodge; (FORD) Deluxe, Ford (see English, French, German, and Italian Ford); (HILL) Deluxe, Hillman; (MORR) Deluxe, Morris; (OLDS) Deluxe, Oldsmobile; (PONT) Deluxe, Pontiac; (RAMB) Deluxe, Rambler (mfd. prior to 1966; 1966 and later Ramblers - see make American Motors); (SUNB) Deluxe, Sunbeam; (VANG) Deluxe, Vanguard (Canada)
74I|(BMW) 740i, BMW
CHI|(PONT) Chieftain, Pontiac
CPR|(MNNI) Cooper/Cooper-S (rights bought by BMW), Mini
